group,trial,action,foodtype,Î¼,n
consistent degrade,1,cache,nondegrading,6.1793,6
consistent degrade,2,cache,nondegrading,6.2283,6
consistent degrade,3,cache,nondegrading,8.0054,6
consistent degrade,4,cache,nondegrading,13.7935,6
consistent degrade,5,cache,nondegrading,10.3043,6
consistent degrade,6,cache,nondegrading,12.8478,6
consistent degrade,7,cache,nondegrading,9.1793,6
consistent degrade,8,cache,nondegrading,10.5489,6
consistent degrade,9,cache,nondegrading,8.2663,6
consistent degrade,10,cache,nondegrading,9.8152,6
consistent degrade,1,cache,degrading,1.6957,6
consistent degrade,2,cache,degrading,7.7283,6
consistent degrade,3,cache,degrading,7.9728,6
consistent degrade,4,cache,degrading,5.1848,6
consistent degrade,5,cache,degrading,3.75,6
consistent degrade,6,cache,degrading,3.2446,6
consistent degrade,7,cache,degrading,0.7174,6
consistent degrade,8,cache,degrading,1.1902,6
consistent degrade,9,cache,degrading,3.7174,6
consistent degrade,10,cache,degrading,3.7337,6
partial degrade,1,cache,nondegrading,6.875,8
partial degrade,2,cache,nondegrading,9,8
partial degrade,3,cache,nondegrading,7.875,8
partial degrade,4,cache,nondegrading,11,8
partial degrade,5,cache,nondegrading,6,8
partial degrade,6,cache,nondegrading,8.5,8
partial degrade,7,cache,nondegrading,7.25,8
partial degrade,8,cache,nondegrading,6.375,8
partial degrade,9,cache,nondegrading,8,8
partial degrade,10,cache,nondegrading,7.875,8
partial degrade,1,cache,degrading,7.5,8
partial degrade,2,cache,degrading,8.375,8
partial degrade,3,cache,degrading,10,8
partial degrade,4,cache,degrading,11,8
partial degrade,5,cache,degrading,8.875,8
partial degrade,6,cache,degrading,10,8
partial degrade,7,cache,degrading,6.375,8
partial degrade,8,cache,degrading,8.5,8
partial degrade,9,cache,degrading,9.125,8
partial degrade,10,cache,degrading,11.25,8
partial degrade,,cache,salami,10.5,80
partial degrade,,cache,pineapple,6.4,80
