trial,group,foodtype,action,Î¼,sem,n
1,same,prefed,cache,1.2,1.0,5
1,same,nonprefed,cache,3.2,1.2,5
1,different,prefed,cache,0.7,0.7,6
1,different,nonprefed,cache,6.5,2.9,6
2,same,prefed,cache,0.0,0.0,5
2,same,nonprefed,cache,4.6,2.3,5
2,different,prefed,cache,1.2,0.5,6
2,different,nonprefed,cache,0.3,0.2,6
3,same,prefed,cache,0.0,0.0,5
3,same,nonprefed,cache,2.0,1.1,5
3,different,prefed,cache,0.8,0.3,6
3,different,nonprefed,cache,0.0,0.0,6
1,same,prefed,eat,1.4,0.78,5
1,same,nonprefed,eat,3.19,0.93,5
1,different,prefed,eat,0.51,0.48,6
1,different,nonprefed,eat,3.18,0.75,6
2,same,prefed,eat,0.0,0.0,5
2,same,nonprefed,eat,5.62,2.16,5
2,different,prefed,eat,0.51,0.21,6
2,different,nonprefed,eat,2.68,0.58,6
3,same,prefed,eat,0.0,0.0,5
3,same,nonprefed,eat,3.81,1.15,5
3,different,prefed,eat,0.67,0.32,6
3,different,nonprefed,eat,3.34,1.62,6
