"exp","group",action,"trial","Î¼","sem",n
a,degrade,cache,1,19.4659,4.0234999999999985,8
a,replenish,cache,1,12.2809,3.1533999999999995,8
a,degrade,cache,2,20.8078,5.5136,8
a,replenish,cache,2,15.4752,3.9281000000000024,8
a,degrade,cache,3,17.4,4.475000000000001,8
a,replenish,cache,3,13.6555,4.447099999999999,8
a,degrade,cache,4,19.1628,3.599499999999999,8
a,replenish,cache,4,10.275,2.229799999999999,8
a,degrade,cache,5,18.8123,4.263999999999999,8
a,replenish,cache,5,12.9208,3.3567,8
a,degrade,cache,6,18.6436,5.463699999999999,8
a,replenish,cache,6,18.0238,3.8786999999999985,8
b,pilfer,cache,1,9.4095,1.8255999999999997,8
b,replenish,cache,1,8.7133,1.8699999999999992,8
b,pilfer,cache,2,10.9242,1.9543999999999997,8
b,replenish,cache,2,10.1636,2.1517,8
b,pilfer,cache,3,9.9287,2.4293000000000013,8
b,replenish,cache,3,6.2906,2.0477999999999996,8
b,pilfer,cache,4,5.9663,2.2964,8
b,replenish,cache,4,7.2898,2.0082000000000004,8
b,pilfer,cache,5,7.9145,1.2661999999999995,8
b,replenish,cache,5,6.5225,2.2136000000000005,8
b,pilfer,cache,6,10.7299,2.7212999999999994,8
b,replenish,cache,6,6.0972,1.9627000000000008,8
